District,Year,Month,Avg_Temp,Avg_Feelslike,Avg_Dew,Avg_Humidity,Avg_Precipitation,Avg_Precipitation_Probability,Avg_Precipitation_Coverage,Avg_Snowfall,Avg_Snow_Depth,Avg_Wind_Gust,Avg_Wind_Speed,Avg_Wind_Direction,Avg_Pressure,Avg_Cloud_Cover,Avg_Visibility,Avg_Solar_Radiation,Avg_Solar_Energy,Avg_UV_Index
mansa,2018,8,30.870967741935484,38.23548387096774,25.82903225806452,75.59677419354838,3.3161290322580643,80.64516129032258,28.62935483870968,0.0,0.0,16.30322580645161,7.767741935483872,172.90322580645162,999.074193548387,74.24193548387096,,213.30645161290323,18.40967741935484,7.451612903225806
mansa,2018,9,29.07,32.57333333333334,23.51333333333333,74.25,6.763333333333334,56.66666666666666,14.861,0.0,0.0,15.94,7.263333333333334,171.2,1005.5533333333332,42.67333333333333,,199.59,17.220000000000002,7.1
mansa,2018,10,25.09032258064516,25.32903225806452,17.203225806451613,65.01612903225806,0.3129032258064516,29.032258064516128,2.0167741935483874,0.0,0.0,14.167741935483871,6.980645161290322,131.49032258064514,1012.2516129032258,9.735483870967744,,212.5,18.33225806451613,7.645161290322581
mansa,2018,11,20.116666666666667,20.066666666666663,12.283333333333331,64.32,0.2933333333333333,20.0,2.361666666666667,0.0,0.0,15.87,7.553333333333333,178.36,1015.2533333333332,18.94333333333333,,171.32999999999998,14.82,6.466666666666667
mansa,2018,12,13.735483870967744,13.338709677419354,8.170967741935485,72.81612903225808,0.4612903225806451,9.67741935483871,4.704193548387097,0.0,0.0,13.770967741935484,6.554838709677419,215.63870967741937,1017.9870967741934,10.174193548387096,,155.44838709677418,13.44516129032258,5.903225806451613
mansa,2019,1,12.53225806451613,12.09032258064516,7.664516129032258,75.13225806451612,2.3870967741935485,32.25806451612903,12.096774193548388,0.0,0.0,14.59032258064516,7.122580645161291,224.06451612903223,1019.1806451612904,34.18064516129032,,155.19032258064516,13.36451612903226,6.0
mansa,2019,2,14.964285714285714,14.857142857142858,10.510714285714286,77.02142857142857,1.4821428571428572,50.0,14.88035714285714,0.0,0.0,16.689285714285713,7.8428571428571425,211.00357142857143,1016.1892857142856,47.35714285714285,,181.025,15.632142857142856,6.964285714285714
mansa,2019,3,20.493548387096773,20.335483870967742,11.793548387096775,62.13548387096775,0.9032258064516128,35.483870967741936,7.123225806451613,0.0,0.0,18.370967741935484,8.816129032258065,201.38387096774196,1013.5548387096776,32.041935483870965,,232.5483870967742,20.096774193548388,8.161290322580646
mansa,2019,4,28.846666666666668,28.7,15.32,48.46,1.5266666666666666,46.66666666666666,7.778,0.0,0.0,19.096666666666668,9.66,158.75,1007.6633333333334,35.873333333333335,,279.72666666666663,24.133333333333333,9.166666666666666
mansa,2019,5,31.861290322580647,31.677419354838708,14.896774193548389,39.74193548387097,0.9806451612903224,45.16129032258065,5.376129032258064,0.0,0.0,19.30322580645161,9.32258064516129,232.38387096774196,1004.1354838709676,27.77741935483871,,301.7838709677419,26.06451612903226,9.419354838709678
mansa,2019,6,35.09,37.43666666666666,19.03,42.580000000000005,0.55,40.0,4.5840000000000005,0.0,0.0,21.08,9.896666666666668,191.16666666666663,999.2233333333334,17.853333333333335,,294.5,25.416666666666668,9.166666666666666
mansa,2019,7,31.793548387096774,38.4741935483871,25.05806451612903,69.5,3.138709677419355,80.64516129032258,28.49516129032258,0.0,0.0,19.09354838709677,8.561290322580644,139.56774193548387,997.7967741935483,54.01935483870968,,224.2258064516129,19.374193548387098,7.580645161290323
mansa,2019,8,30.72258064516129,38.354838709677416,26.09354838709677,77.2741935483871,5.632258064516129,83.87096774193549,27.554516129032255,0.0,0.0,16.193548387096776,7.558064516129033,122.58387096774192,1000.4,63.10322580645161,,212.9516129032258,18.31935483870968,7.451612903225806
